method,method_class,p,rep,n_full,n_sample,rho,rho_tilde,time_fit_full_s,time_fit_sample_s,time_score_s,time_total_s,dataset
COPOD,II,0.05,9,286048,14302,0.9867132867132867,0.9998270399211979,7.382710086996667,0.5788313070079312,7.382710086996667,7.972391995950602,covertype
COPOD,II,0.1,0,286048,28604,0.9944055944055944,0.999922973590695,7.215225833002478,0.8712076579686254,7.215225833002478,8.097951992065646,covertype
COPOD,II,0.1,1,286048,28604,0.9867132867132867,0.9998634563817717,7.307345913024619,0.7613042409066111,7.307345913024619,8.07777381699998,covertype
COPOD,II,0.1,2,286048,28604,0.9951048951048951,0.9999275645324166,7.1482701289933175,0.8604091489687562,7.1482701289933175,8.018134259036742,covertype
COPOD,II,0.1,3,286048,28604,0.9898601398601399,0.9999424209793216,7.132442674017511,0.8068288420327008,7.132442674017511,7.949717215960845,covertype
COPOD,II,0.1,4,286048,28604,0.9926573426573426,0.9999353613362952,7.173960380954668,0.8485252329846844,7.173960380954668,8.03465836099349,covertype
COPOD,II,0.1,5,286048,28604,0.9923076923076923,0.9999238919138912,7.5749298359733075,0.5212308339541778,7.5749298359733075,8.114997935015708,covertype
COPOD,II,0.1,6,286048,28604,0.9867132867132867,0.9999135553366916,7.134797058999538,0.743120013969019,7.134797058999538,7.886956575093791,covertype
COPOD,II,0.1,7,286048,28604,0.9881118881118881,0.9998625685212339,7.622583681019023,0.5023532439954579,7.622583681019023,8.156052142963745,covertype
COPOD,II,0.1,8,286048,28604,0.9902097902097902,0.9999150750496082,7.413145923055708,0.5234711479861289,7.413145923055708,7.988516935962252,covertype
COPOD,II,0.1,9,286048,28604,0.9898601398601399,0.9999364186696298,7.391769077978097,0.5055348359746858,7.391769077978097,7.927865246892907,covertype
ECOD,II,0.01,0,286048,2860,0.9755244755244755,0.9991901921479884,7.6526301230769604,0.04404691397212446,7.6526301230769604,7.698262064950541,covertype
ECOD,II,0.01,1,286048,2860,0.9825174825174825,0.9984725841754528,7.539459924097173,0.16335115698166192,7.539459924097173,7.70529334503226,covertype
ECOD,II,0.01,2,286048,2860,0.9685314685314685,0.9987200169284888,7.4615179899847135,0.06541765003930777,7.4615179899847135,7.529109970899299,covertype
ECOD,II,0.01,3,286048,2860,0.9475524475524476,0.9985907500721366,7.062495548045263,0.25592710403725505,7.062495548045263,7.326850940007716,covertype
ECOD,II,0.01,4,286048,2860,0.9545454545454546,0.9990591458346294,6.469937460962683,0.03447166597470641,6.469937460962683,6.5059395409189165,covertype
ECOD,II,0.01,5,286048,2860,0.965034965034965,0.9992057399548157,6.387750376015902,0.22282566595822573,6.387750376015902,6.6224906330462545,covertype
ECOD,II,0.01,6,286048,2860,0.972027972027972,0.998980411145824,8.238421294023283,0.06374298199079931,8.238421294023283,8.303726808982901,covertype
ECOD,II,0.01,7,286048,2860,0.965034965034965,0.9982626082486233,7.589906538021751,0.10713281505741179,7.589906538021751,7.699781470000744,covertype
ECOD,II,0.01,8,286048,2860,0.9615384615384616,0.9988112842473306,7.064075274975039,0.10208368801977485,7.064075274975039,7.171816479996778,covertype
ECOD,II,0.01,9,286048,2860,0.9615384615384616,0.998706763590152,7.204304099082947,0.039892142987810075,7.204304099082947,7.246186833945103,covertype
ECOD,II,0.05,0,286048,14302,0.9825174825174825,0.9996978224418678,7.257976735010743,0.6005208629649132,7.257976735010743,7.871396951959468,covertype
ECOD,II,0.05,1,286048,14302,0.9846153846153847,0.9996980910009857,7.470677483943291,0.5356009140377864,7.470677483943291,8.014661591965705,covertype
ECOD,II,0.05,2,286048,14302,0.9804195804195804,0.9995719059003402,7.747309525962919,0.28481615998316556,7.747309525962919,8.037320007919334,covertype
ECOD,II,0.05,3,286048,14302,0.9839160839160839,0.9997830934955656,7.305447128019296,0.6167692680610344,7.305447128019296,7.927527318941429,covertype
ECOD,II,0.05,4,286048,14302,0.9874125874125874,0.9998240249512117,7.132462914916687,0.26980706001631916,7.132462914916687,7.416218713973649,covertype
ECOD,II,0.05,5,286048,14302,0.9846153846153847,0.9997436263436283,7.112374190008268,0.5384824300417677,7.112374190008268,7.658412682940252,covertype
ECOD,II,0.05,6,286048,14302,0.9811188811188811,0.999783670739128,7.271710354019888,0.6279704970074818,7.271710354019888,7.911219276953489,covertype
ECOD,II,0.05,7,286048,14302,0.9811188811188811,0.9997157861389644,7.497402083012275,0.5408888979582116,7.497402083012275,8.04496880096849,covertype
