method,p,rep,n_full,n_sample,rho,rho_tilde,time_fit_full_s,time_fit_sample_s,time_score_s,time_total_s,dataset,tier,method_class
BoxPlot,0.1,19,240,24,1.0,1.0,0.00044504698598757386,0.0003627259866334498,7.38389790058136e-05,0.002081133017782122,vertebral,T1,I
BoxPlot,0.1,20,240,24,0.5,0.45274102079395084,0.0010072169825434685,0.00038299098378047347,6.596400635316968e-05,0.002641287981532514,vertebral,T1,I
BoxPlot,0.1,21,240,24,0.0,-0.15318788335166178,0.0004462440265342593,0.00035451899748295546,6.757304072380066e-05,0.0020879959920421243,vertebral,T1,I
BoxPlot,0.1,22,240,24,1.0,0.5767708152447926,0.000476738961879164,0.0003364889998920262,7.468002149835229e-05,0.001980050001293421,vertebral,T1,I
BoxPlot,0.1,23,240,24,0.0,0.3201558234181138,0.00044447602704167366,0.000351344991941005,6.611499702557921e-05,0.0019551829900592566,vertebral,T1,I
BoxPlot,0.1,24,240,24,0.5,0.3580067582064623,0.0004415790317580104,0.00034499302273616195,6.563501665368676e-05,0.0037770600174553692,vertebral,T1,I
BoxPlot,0.1,25,240,24,0.15384615384615385,-0.06281001030561872,0.0005605249898508191,0.0004047759575769305,9.863596642389894e-05,0.002477136964444071,vertebral,T1,I
BoxPlot,0.1,26,240,24,0.5,0.5,0.0004442479694262147,0.0004161179531365633,7.115100743249059e-05,0.004059761995449662,vertebral,T1,I
BoxPlot,0.1,27,240,24,0.5,0.4484536082474227,0.0008560519781894982,0.0003741959808394313,7.099396316334605e-05,0.0025492350105196238,vertebral,T1,I
BoxPlot,0.1,28,240,24,1.0,1.0,0.0005299070035107434,0.0005200749728828669,8.03070142865181e-05,0.0028584120445884764,vertebral,T1,I
BoxPlot,0.1,29,240,24,0.0,0.8176067134798324,0.0004484279779717326,0.000359978002961725,7.010600529611111e-05,0.002209508966188878,vertebral,T1,I
BoxPlot,0.1,30,240,24,0.5,0.7980238751210129,0.0007597989751957357,0.0004128430155105889,7.675000233575702e-05,0.0024722209782339633,vertebral,T1,I
BoxPlot,0.1,31,240,24,0.15384615384615385,0.4029501403302944,0.0004584470298141241,0.00040792900836095214,7.125199772417545e-05,0.002265574992634356,vertebral,T1,I
BoxPlot,0.1,32,240,24,1.0,1.0,0.0004343210021033883,0.00044584600254893303,6.75329938530922e-05,0.0038009179988875985,vertebral,T1,I
BoxPlot,0.1,33,240,24,0.5,0.9069016881010612,0.0004887499962933362,0.00033944600727409124,7.486698450520635e-05,0.0019878909806720912,vertebral,T1,I
BoxPlot,0.1,34,240,24,0.15384615384615385,0.6026258331144146,0.0004557560314424336,0.0003727750154212117,6.856798427179456e-05,0.002061935025267303,vertebral,T1,I
BoxPlot,0.1,35,240,24,1.0,1.0,0.00047732499660924077,0.0005238049780018628,6.556400330737233e-05,0.0021016820101067424,vertebral,T1,I
BoxPlot,0.1,36,240,24,1.0,0.600658684817648,0.0004033239674754441,0.0003248919965699315,6.402598228305578e-05,0.00180377799551934,vertebral,T1,I
BoxPlot,0.1,37,240,24,1.0,1.0,0.0004298380226828158,0.002584839006885886,7.074599852785468e-05,0.004299018008168787,vertebral,T1,I
BoxPlot,0.1,38,240,24,1.0,0.996219281663516,0.00044314400292932987,0.0003308849991299212,6.527703953906894e-05,0.001987915951758623,vertebral,T1,I
BoxPlot,0.1,39,240,24,0.15384615384615385,-0.06281001030561872,0.00043934700079262257,0.0003283119876869023,6.640504579991102e-05,0.0019354440155439079,vertebral,T1,I
BoxPlot,0.1,40,240,24,0.15384615384615385,0.7223151185146153,0.0004493710002861917,0.00043023197213187814,7.257197285071015e-05,0.0021413899958133698,vertebral,T1,I
BoxPlot,0.1,41,240,24,0.15384615384615385,0.4877817488208827,0.00044365000212565064,0.0003289469750598073,6.690702866762877e-05,0.0029843440279364586,vertebral,T1,I
BoxPlot,0.1,42,240,24,1.0,0.753656383088486,0.0005432880134321749,0.0005010359454900026,7.956998888403177e-05,0.002396749972831458,vertebral,T1,I
